id,angle
0,297.3480224609375
1,89.59262084960938
2,167.1851806640625
3,309.52587890625
4,309.9266967773437
5,340.4786376953125
6,317.7332458496094
7,319.7504272460937
8,48.20636749267578
9,293.4092102050781
10,274.30523681640625
11,223.1909027099609
12,71.4740982055664
13,118.770263671875
14,288.567626953125
15,223.3018798828125
16,46.64305877685547
17,83.77421569824219
18,308.9030456542969
19,89.26225280761719
20,313.44512939453125
21,10.107832908630373
22,189.0494079589844
23,172.37417602539062
24,281.9945678710937
25,107.4815902709961
26,263.7054138183594
27,315.1610107421875
28,285.4545288085937
29,109.05828857421876
30,2.307934761047364
31,222.5540008544922
32,111.94596862792967
33,322.22296142578125
34,233.4587860107422
35,239.3317413330078
36,298.63690185546875
37,54.700775146484375
38,22.423622131347656
39,98.12519073486328
40,258.7411804199219
41,267.5633239746094
42,89.65194702148438
43,76.90399932861328
44,25.92312240600586
45,335.68475341796875
46,317.5736389160156
47,78.66736602783203
48,332.3226318359375
49,290.7738647460937
50,28.44184112548828
51,313.3368835449219
52,313.8112487792969
53,225.79351806640625
54,106.24122619628906
55,56.78678894042969
56,109.60704803466795
57,180.59957885742188
58,315.8617553710937
59,283.2283935546875
60,137.42686462402344
61,324.030029296875
62,130.46426391601562
63,59.781829833984375
64,86.70479583740234
65,121.6095199584961
66,88.70362854003906
67,86.74554443359375
68,257.2770080566406
69,25.12142562866211
70,291.3553161621094
71,108.63593292236328
72,276.371337890625
73,335.4722900390625
74,61.75614929199219
75,308.6791687011719
76,307.89849853515625
77,223.87098693847656
78,205.29519653320312
79,343.2490539550781
80,89.48468780517578
81,10.893954277038574
82,97.4272003173828
83,128.47817993164062
84,55.22205352783203
85,90.18504333496094
86,355.9005126953125
87,46.84415817260742
88,354.1702880859375
89,130.595458984375
90,57.53960037231445
91,301.70123291015625
92,2.6581196784973145
93,129.10694885253906
94,167.85519409179688
95,237.177001953125
96,152.6866455078125
97,32.10770034790039
98,51.000587463378906
99,93.90876770019533
100,303.83575439453125
101,348.77178955078125
102,134.24351501464844
103,165.76516723632812
104,100.55855560302734
105,34.79661560058594
106,105.54837799072266
107,263.29315185546875
108,319.2037048339844
109,119.78855895996094
110,144.52886962890625
111,282.7616577148437
112,303.7471923828125
113,202.0242919921875
114,131.12823486328125
115,261.07196044921875
116,68.12980651855469
117,155.2636260986328
118,305.795654296875
119,68.0760726928711
120,25.182043075561523
121,247.8681030273437
122,214.0379638671875
123,155.1676483154297
124,201.46694946289065
125,128.2610321044922
126,156.2739715576172
127,26.47064971923828
128,193.58526611328125
